Downloaded from FDA Regulatory Status of Color Additives; http://hfpappexternal.fda.gov/scripts/fdcc/?set=ColorAdditives; Last updated 2/14/2025; downloaded 4/11/2025.

"See End Note descriptions at https://www.hfpappexternal.fda.gov/scripts/fdcc/index.cfm?set=ColorAdditives."

CAS Reg No or other ID code,Color,See also,EEC No,Status,Use,Former use,RESTRICTIONS,End Notes Detail,END NOTES,Other names,RegnumCA1,RegnumCA2,RegnumCA3,RegnumCA4,RegnumCA5,RegnumCA6,RegnumO1,RegnumO2,RegnumO3,RegnumO4,RegnumO5,RegnumO6,RegnumO7,RegnumO8,RegnumO9,RegnumO10,RegnumO11,RegnumO12,RegnumO13,Citation 1a,Date FR 1a inc estimates,Text2 Date Actual FR 1a,Action 1a,Citation 1b,Date FR 1b,Action 1b,Citation 1c,Date FR 1c,Action 1c,Citation 1d,Date FR 1d,Action 1d,Citation 1e,Date FR 1e,Action 1e,Limitations 1,Citation 2a,Date FR 2a,Action 2a,Citation 2b,Date FR 2b,Action 2b,Citation 2c,Date FR 2c,Action 2c,Citation 2d,Date FR 2d,Action 2d,Citation 2e,Date FR 2e,Action 2e,Limitations 2,Citation 3a,Date FR 3a,Action 3a,Citation 3b,Date FR 3b,Action 3b,Citation 3c,Date FR 3c,Action 3c,Citation 3d,Date FR 3d,Action 3d,Limitations 3,Citation 4a,Date FR 4a,Action 4a,Citation 4b,Date FR 4b,Action 4b,Citation 4c,Date FR 4c,Action 4c,Citation 4d,Date FR 4d,Action 4d,Citation 4e,Date FR 4e,Action 4e,Citation 4f,Date FR 4f,Action 4f,Limitations 4,Citation 5a,Date FR 5a,Action 5a,Citation 5b,Date FR 5b,Action 5b,Citation 5c,Date FR 5c,Action 5c,Citation 5d,Date FR 5d,Action 5d,Citation 5e,Date FR 5e,Action 5e,Citation 5f,Date FR 5f,Action 5f,Limitations 5,Citation 6a,Date FR 6a,Action 6a,Citation 6b,Date FR 6b,Action 6b,Citation 6c,Date FR 6c,Action 6c,Citation 6d,Date FR 6d,Action 6d,Citation 6e,Date FR 6e,Action 6e,Limitations 6,Citation 7a,Date FR 7a,Action 7a,Citation 7b,Date FR 7b,Action 7b,Citation 7c,Date FR 7c,Action 7c,Citation 7d,Date FR 7d,Action 7d,Limitations 7,Citation 8a,Date FR 8a,Action 8a,Citation 8b,Date FR 8b,Action 8b,Citation 8c,Date FR 8c,Action 8c,Citation 8d,Date FR 8d,Action 8d,Limitations 8,Citation 9a,Date FR 9a,Action 9a,Citation 9b,Date FR 9b,Action 9b,Citation 9c,Date FR 9c,Action 9C,Limitations 9,Citation 10a,Date FR 10a,Action 10a,Citation 10b,Date FR 10b,Action 10b,Citation 10c,Date FR 10c,Action 10c,Limitations 10,Citation 11a,Date FR 11a,Action 11a,Citation 11b,Date FR 11b,Action 11b,Citation 11c,Date FR 11c,Action 11c,Limitations 11,Citation 12a,Date FR 12a,Action 12a,Citation 12b,Date FR 12b,Action 12b,Action 12c,Date FR 12c,Citation 12c,Limitations 12,Citation 13a,Date FR 13a,Action 13a,Citation 13b,Date FR 13b,Action 13b,Citation 13c,Date FR 13c,Action 13c,Limitations 13
" 6359-06-4"," Ext. D&C Orange No. 2",,," Delisted, formerly subject to certification"," None"," formerly External Drugs, External Cosmetics",," none",,,,,,,,,,,,,,,,,,,,,," 4 FR 3931",09/16/1939,," Specifications"," Public Law 86-618",07/12/1960," Delisting",,,,,,,,,," External drugs and cosmetic use. No batch ever certified.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 523-44-4"," Ext. D&C Orange No. 3"," FD&C Orange No. 1",," Delisted, formerly subject to certification"," None"," formerly External Drugs, External Cosmetics",," none",," &diams; C.I. ACID ORANGE 20<br />&diams; C.I. 14600<br />&diams; ACID ORANGE 20<br />&diams; BENZENESULFONIC ACID, 4-((4-HYDROXY-1-NAPHTHALENYL)AZO)-, MONOSODIUM SALT<br />&diams; C.I. ACID ORANGE 20, MONOSODIUM SALT<br />&diams; D&C ORANGE NO. 1<br />&diams; EDICOL ORANGE IS<br />&diams; FD&C ORANGE NO. 1<br />&diams; MONOSODIUM 4-((4-HYDROXY-1-NAPHTHALENYL)AZO)BENZENESULFONATE;NAPHTHOL ORANGE",=T("81.30"),,,,,,,,,,,,,,,,,,," 20 FR 8492",11/16/1955,," Finding of Fact; specifications; miscellaneous amendments",,,,,,,,,,,,," External drugs and cosmetic use. Formerly  FD&C Orange No. 1."," 25 FR 9759",10/12/1960," Provisional Regulation",,,,,,,,,,,,," Provisional external drugs and cosmetic use."," 32 FR 10930",07/26/1967," Delisting, cancellation of certificates.",,,,,,,,,," Termination of provisional external drugs and cosmetic use. No interest.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 2646-17-5"," Ext. D&C Orange No. 4"," FD&C Orange No. 2",," Delisted, formerly subject to certification"," None"," formerly External Drugs, External Cosmetics",," none",," &diams; C.I. SOLVENT ORANGE 2<br />&diams; 1-((2-METHYLPHENYL)AZO)-2-NAPHTHENOL<br />&diams; 1-(O-TOLYLAZO)-2-NAPHTHOL<br />&diams; 1-O-TOLYLAZO-2-NAPHTHOL<br />&diams; 2-NAPHTHALENOL, 1-((2-METHYLPHENYL)AZO)-<br />&diams;  FD&C ORANGE NO. 2<br />&diams; OIL ORANGE SS<br />&diams; OIL ORANGE TX<br />&diams; ORANGE SS<br />&diams; SOLVENT ORANGE 2<br />&diams; TOLUENEAZO-BETA-NAPHTHOL, O-",=T("81.30"),,,,,,,,,,,,,,,,,,," 20 FR 8492",11/16/1955,," Finding of fact; specifications; miscellaneous amendments",,,,,,,,,,,,," External drugs and cosmetic use. Formerly  FD&C Orange No. 2."," 25 FR 9759",10/12/1960," Provisional Regulation",,,,,,,,,,,,," Provisional external drugs and cosmetic use."," 28 FR 317",01/11/1963," Delisting"," 31 FR 5490",04/07/1966," Cancellation of certificates",,,,,,," Provisional external drugs and cosmetic use. No interest.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 4321-69-1"," Ext. D&C Red No. 1",,," Delisted, formerly subject to certification"," None"," formerly External Drugs, External Cosmetics",," none",," &diams; C.I. ACID VIOLET 7<br />&diams; C.I. 18055<br />&diams; 2,7-NAPHTHALENEDISULFONIC ACID, 5-(ACETYLAMINO)-3-((4-(ACETYLAMINO)PHENYL)AZO)-4-HYDROXY-, DISODIUM SALT<br />&diams; AZO RHODINE 6B<br />&diams; C.I. ACID VIOLET 7, DISODIUM SALT<br />&diams; DISODIUM 5-(ACETYLAMINO)-3-((4-(ACETYLAMINO)PHENYL)AZO)-4-HYDROXY-2,7-NAPHTHALENEDISULFONATE<br />&diams; RED 6B",=T("81.30"),,,,,,,,,,,,,,,,,,," 4 FR 1922 (at page 1931)",05/09/1939,," Specifications",,,,,,,,,,,,," External drug and cosmetic use."," 25 FR 9759",10/12/1960," Provisional Regulation",,,,,,,,,,,,," Provisional external drugs and cosmetic use."," 28 FR 317",01/11/1963," Delisting"," 31 FR 5490",04/07/1966," Cancellation of certificates",,,,,,," Provisional external drugs and cosmetic use. No interest.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 3567-69-9"," Ext. D&C Red No. 10",,," Delisted, formerly subject to certification"," None"," formerly External Drugs, External Cosmetics",," none",," &diams; C.I. ACID RED 14",=T("81.30"),,,,,,,,,,,,,,,,,,," 4 FR 3931",09/16/1939,," Specifications",,,,,,,,,,,,," External drug and cosmetic use."," 25 FR 9759",10/12/1960," Provisional Regulation",,,,,,,,,,,,," Provisional external drugs and cosmetic use."," 28 FR 317",01/11/1963," Delisting"," 31 FR 5490",04/07/1966," Cancellation of certificates",,,,,,," Provisional external drugs and cosmetic use. No interest.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 3734-67-6"," Ext. D&C Red No. 11",,," Delisted, formerly subject to certification"," None"," formerly External Drugs, External Cosmetics",," none",," &diams; C.I. ACID RED 1<br />&diams; C.I. 18050",=T("81.30"),,,,,,,,,,,,,,,,,,," 4 FR 3931",09/16/1939,," Specifications",,,,,,,,,,,,," External drug and cosmetic use."," 25 FR 9759",10/12/1960," Provisional Regulation",,,,,,,,,,,,," Provisional external drugs and cosmetic use."," 28 FR 317",01/11/1963," Delisting"," 31 FR 5490",04/07/1966," Cancellation of certificates",,,,,,," Provisional external drugs and cosmetic use. No interest.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 5850-85-1"," Ext. D&C Red No. 12",,," Delisted, formerly subject to certification"," None"," formerly External Drugs, External Cosmetics",," none",,,,,,,,,,,,,,,,,,,,,," 4 FR 3931",09/16/1939,," Specifications",,,,,,,,,,,,," External drug and cosmetic use."," Public Law 86-618",07/12/1960," Delisting",,,,,,,,,,,,," No batch ever certified.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 5413-75-2"," Ext. D&C Red No. 13",,," Delisted, formerly subject to certification"," None"," formerly External Drugs, External Cosmetics",," none",," &diams; C.I. ACID RED 73<br />&diams; C.I. 27290",=T("81.30"),,,,,,,,,,,,,,,,,,," 4 FR 3931",09/16/1939,," Specifications",,,,,,,,,,,,," External drug and cosmetic use."," 25 FR 9759",10/12/1960," Provisional Regulation",,,,,,,,,,,,," Provisional external drugs and cosmetic use."," 28 FR 317",01/11/1963," Delisting"," 31 FR 5490",04/07/1966," Cancellation of certificates",,,,,,," Provisional external drugs and cosmetic use. No interest.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 3118-97-6"," Ext. D&C Red No. 14",,," Delisted, formerly subject to certification"," None"," formerly External Drugs, External Cosmetics",," none",," &diams; C.I. SOLVENT ORANGE 7<br />&diams; 1-((2,4-DIMETHYLPHENYL)AZO)-2-NAPHTHALENOL<br />&diams; 2-NAPHTHALENOL, 1-((2,4-DIMETHYLPHENYL)AZO)-<br />&diams; C.I. 12140<br />&diams; FD&C RED NO. 32<br />&diams; OIL ORANGE KB<br />&diams; OIL ORANGE XO<br />&diams; OIL RED XO<br />&diams; SOLVENT ORANGE 7<br />&diams; SUDAN 2<br />&diams; SUDAN RED<br />&diams; SUDAN RED B",=T("81.30"),,,,,,,,,,,,,,,,,,," 20 FR 8492",11/16/1955,," Finding of fact; specifications; miscellaneous amendments",,,,,,,,,,,,," External drug and cosmetic use."," 25 FR 9759",10/12/1960," Provisional Regulation",,,,,,,,,,,,," Provisional external drugs and cosmetic use."," 28 FR 317",01/11/1963," Delisting"," 31 FR 5490",04/07/1966," Cancellation of certificates",,,,,,," Provisional external drugs and cosmetic use. No interest.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 3564-09-8"," Ext. D&C Red No. 15",,," Delisted, formerly subject to certification"," None"," formerly External Drugs, External Cosmetics",," none",," &diams; C.I. FOOD RED 6, DISODIUM SALT<br />&diams; 2,7-NAPHTHALENEDISULFONIC ACID, 3-HYDROXY-4-((2,4,5-TRIMETHYLPHENYL)AZO)-, DISODIUM SALT<br />&diams; C.I. 16155<br />&diams; D&C RED NO. 1<br />&diams;  DISODIUM 3-HYDROXY-4-((2,4,5-TRIMETHYLPHENYL)AZO)-2,7-NAPHTHALENEDISULFONATE<br />&diams;  FD&C RED NO. 1<br />&diams; FOOD RED 6<br />&diams; PONCEAU 3R<br />&diams; SCARLET F<br />&diams; SCHARLACH GN",=T("81.30"),,,,,,,,,,,,,,,,,,," 26 FR 162",01/10/1961,," Provisional Regulation"," 28 FR 317",01/11/1963," Provisional List",,,,,,,,,," External drug and cosmetic use."," 30 FR 8333",06/30/1965," Delisting"," 31 FR 5490",04/07/1966," Cancellation of certificates",,,,,,,,,," Provisional external drug and cosmetic use. No interest",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 1836-22-2"," Ext. D&C Red No. 2",,," Delisted, formerly subject to certification"," None"," formerly External Drugs, External Cosmetics",," none",," &diams; C.I. MORDANT RED 9<br />&diams; C.I. 16105<br />&diams; ACID ALIZARIN RED B<br />&diams; BENZOIC ACID, 2-((2-HYDROXY-3,6-DISULFO-1-NAPHTHALENYL)AZO)-, TRISODIUM SALT<br />&diams; C.I. MORDANT RED 9, TRISODIUM SALT<br />&diams; MORDANT RED 9<br />&diams; TRISODIUM 2-((2-HYDROXY-3,6-DISULFO-1-NAPHTHALENYL)AZO)BENZOATE",=T("81.30"),,,,,,,,,,,,,,,,,,," 4 FR 1922 (at page 1931)",05/09/1939,," Specifications",,,,,,,,,,,,," External drug and cosmetic use."," 25 FR 9759",10/12/1960," Provisional Regulation",,,,,,,,,,,,," Provisional external drug and cosmetic use."," 28 FR 317",01/11/1963," Delisting"," 31 FR 5490",04/07/1966," Cancellation of certificates",,,,,,," Provisional external drugs and cosmetic use. No interest.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 4548-53-2"," Ext. D&C Red No. 24"," FD&C Red No. 4",," Delisted, formerly subject to certification"," None"," formerly External Drugs, External Cosmetics",," none",," &diams; 1-NAPHTHALENESULFONIC ACID, 3-((2,4-DIMETHYL-5-SULFOPHENYL)AZO)-4-HYDROXY-, DISODIUM SALT<br />&diams; C.I. 14700<br />&diams; C.I. FOOD RED 1<br />&diams; C.I. FOOD RED 1, DISODIUM SALT<br />&diams; D&C RED NO. 4<br />&diams; DISODIUM 2-(5-SULFO-2,4-XYLYLAZO)-1-NAPHTHOL-4-SULFONATE<br />&diams; DISODIUM 3-((2,4-DIMETHYL-5-SULFOPHENYL)AZO)-4-HYDROXY-1-NAPHTHALENESULFONATE<br />&diams; FD&C RED NO. 4<br />&diams; PONCEAU SX<br />&diams; RED SHADE #24",=T("81.30"),,,,,,,,,,,,,,,,,,," 29 FR 16983",12/11/1964,," Amendment; replaces FD&C Red No. 4 with Ext. D&C Red No. 24"," 30 FR 8333",06/30/1965," Postponement of closing dates for provisional listing",,,,,,,,,," External drug and cosmetic use."," 30 FR 10289",08/19/1965," Delisting; Relisted as FD&C Red No. 4",,,,,,,,,,,,," Relisted as FD&C Red No. 4 with limited use and tolerance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 6252-76-2"," Ext. D&C Red No. 3",,," Delisted, formerly subject to certification"," None"," formerly External Drugs, External Cosmetics",," none",," &diams; C.I. ACID VIOLET 9<br />&diams; C.I. 45190",=T("81.30"),,,,,,,,,,,,,,,,,,," 4 FR 1922 (at page 1931)",05/09/1939,," Specifications",,,,,,,,,,,,," External drug and cosmetic use."," 25 FR 9759",10/12/1960," Provisional Regulation",,,,,,,,,,,,," Provisional external drug and cosmetic use."," 28 FR 317",01/11/1963," Delisting"," 31 FR 5490",04/07/1966," Cancellation of certification",,,,,,," Provisional external drug and cosmetic use. No interest.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 4370-09-6"," Ext. D&C Red No. 4",,," Delisted, formerly subject to certification"," None"," formerly External Drugs, External Cosmetics",," none",," &diams; C.I. SOLVENT RED 47<br />&diams; C.I. 45435:1",,,,,,,,,,,,,,,,,,,," 4 FR 1922 (at page 1931)",05/09/1939,," Specifications",,,,,,,,,,,,," External drug and cosmetic use."," Public Law 86-618",07/12/1960," Delisting",,,,,,,,,,,,," No batch ever certified.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 18265-55-9"," Ext. D&C Red No. 5",,," Delisted, formerly subject to certification"," None"," formerly External Drugs, External Cosmetics",," none",," &diams; C.I. ACID RED 93<br />&diams; C.I. 45435",,,,,,,,,,,,,,,,,,,," 4 FR 1922 (at page 1931)",05/09/1939,," Specifications",,,,,,,,,,,,," External drug and cosmetic use."," Public Law 86-618",07/12/1960," Delisting",,,,,,,,,,,,," No batch ever certified.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 6372-92-5"," Ext. D&C Red No. 6",,," Delisted, formerly subject to certification"," None"," formerly External Drugs, External Cosmetics",," none",," &diams; C.I. ACID RED 93, DIPOTASSIUM SALT",,,,,,,,,,,,,,,,,,,," 4 FR 1922 (at page 1931)",05/09/1939,," Specifications",,,,,,,,,,,,," External drug and cosmetic use."," Public Law 86-618",07/12/1960," Delisting",,,,,,,,,,,,," No batch ever certified.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 130-22-3"," Ext. D&C Red No. 7",,," Delisted, formerly subject to certification"," None"," formerly External Drugs, External Cosmetics",," none",," &diams; C.I. MORDANT RED 3<br />&diams; C.I. 58005",,,,,,,,,,,,,,,,,,,," 4 FR 1922 (at page 1931)",05/09/1939,," Specifications",,,,,,,,,,,,," External drug and cosmetic use."," Public Law 86-618",07/12/1960," Delisting",,,,,,,,,,,,," No batch ever certified.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 1658-56-6"," Ext. D&C Red No. 8",,," Delisted, formerly subject to certification"," None"," formerly External Drugs, External Cosmetics",," none",," &diams; C.I. ACID RED 88<br />&diams; C.I. 15620",=T("81.30"),,,,,,,,,,,,,,,,,,," 4 FR 3931",09/16/1939,," Specifications",,,,,,,,,,,,," External drug and cosmetic use."," 25 FR 9759",10/12/1960," Provisional Regulation",,,,,,,,,,,,," Provisional external drug and cosmetic use."," 32 FR 10930",07/26/1967," Delisting; cancellation of certification",,,,,,,,,," Provisional external drug and cosmetic use. No interest.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 6373-10-0"," Ext. D&C Red No. 9",,," Delisted, formerly subject to certification"," None"," formerly External Drugs, External Cosmetics",," none",," &diams; C.I. PIGMENT RED 54, CALCIUM SALT<br />&diams; C.I. 148301",,,,,,,,,,,,,,,,,,,," 4 FR 3931",09/16/1939,," Specifications",,,,,,,,,,,,," External drug and cosmetic use."," Public Law 86-618",07/12/1960," Delisting",,,,,,,,,,,,," No batch ever certified.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 6408-63-5"," Ext. D&C Violet No. 1",,," Delisted, formerly subject to certification"," None"," formerly External Drugs, External Cosmetics",," none",," &diams; C.I. ACID VIOLET 34<br />&diams; C.I. 61710",,,,,,,,,,,,,,,,,,,," 4 FR 3931",09/16/1939,," Specifications",,,,,,,,,,,,," External drug and cosmetic use."," Public Law 86-618",07/12/1960," Delisting",,,,,,,,,,,,," No batch ever certified.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 4430-18-6"," Ext. D&C Violet No. 2",,," Permanently listed, certification required"," Cosmetics",,," none",,," 74.2602a",,,,,,,,,,,,,,,,,,," 4 FR 3931",09/16/1939,," Specifications",,,,,,,,,,,,," External drug and cosmetic use."," 25 FR 9759",10/12/1960," Provisional Regulation",,,,,,,,,,,,," Provisional external drugs and cosmetic use."," 32 FR 10930",07/26/1967," Delisting, cancellation of certificates.",,,,,,,,,," Termination of provisional external drug and cosmetic use.  No interest."," 38 FR 7006",03/15/1973," Restoration to the provisional list; postponment of closing date",,,,,,,,,,,,,,,," Provisional external cosmetic use."," 41 FR 51594",11/23/1976," Final Rule"," 42 FR 12424",03/04/1977," Final Rule; confirmation of effective date",,,,,,,,,,,,," External cosmetic use."," 50 FR 23815",06/06/1985," Proposed Rule",,,,,,,,,,,,," Proposal to change name to D&C Violet No. 3.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 587-98-4"," Ext. D&C Yellow No. 1",,," Delisted, formerly subject to certification"," None"," formerly External Drugs, External Cosmetics",," none",," &diams; C.I. ACID YELLOW 36<br />&diams; C.I. 13065",=T("81.10"),=T("81.30"),,,,,,,,,,,,,,,,,," 4 FR 1922 (at page 1930)",05/09/1939,," Specifications",,,,,,,,,,,,," External drug and cosmetic use."," 25 FR 9759",10/12/1960," Provisional Regulation",,,,,,,,,,,,," Provisional external drug and cosmetic use."," 33 FR 982",01/26/1968," Postponement of closing date",,,,,,,,,," Provisional external drug and cosmetic use."," 42 FR 62478",12/13/1977," Delisting; cancellation of certificates",,,,,,,,,,,,,,,," Termination of closing date for provisional listing. Cancellation of certificates.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 131-79-3"," Ext. D&C Yellow No. 10"," FD&C Yellow No. 4",," Delisted, formerly subject to certification"," None"," formerly External Drugs, External Cosmetics",," none",," &diams; C.I. SOLVENT YELLOW 6<br />&diams; 1-((2-METHYLPHENYL)AZO)-2-NAPHTHALENAMINE<br />&diams; 1-o-tolylazo-2-naphthylamine<br />&diams; 2-NAPHTHALENAMINE, 1-((2-METHYLPHENYL)AZO)-<br />&diams; 2-naphthylamine, 1-o-tolylazo-<br />&diams; C.I. 11390<br />&diams; FD&C YELLOW NO. 4<br />&diams; SOLVENT YELLOW 6<br />&diams; YELLOW OB",=T("81.10"),=T("81.30"),,,,,,,,,,,,,,,,,," 22 FR 478",01/24/1957,," Proposed Rule; change from FD&C Yellow No. 4 to Ext. D&C Yellow No. 10; specifications"," 22 FR 3173",05/04/1957," Final Rule; specifications"," 22 FR 6613",08/17/1957," Order staying effectiveness of amendments"," 24 FR 883",02/06/1959," Final Rule; response to objection",,,," External drug and cosmetic use.  &beta;-Naphthylamine possible impurity."," 25 FR 9759",10/12/1960," Provisional Regulation",,,,,,,,,,,,," Provisional external drug and cosmetic use.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 4478-91-5"," Ext. D&C Yellow No. 2",,," Delisted, formerly subject to certification"," None"," formerly External Drugs, External Cosmetics",," none",," &diams; C.I. ACID YELLOW 36, CALCIUM SALT",,,,,,,,,,,,,,,,,,,," 4 FR 1922 (at page 1931)",05/09/1939,," Specifications"," Public Law 86-618",07/12/1960," Delisting",,,,,,,,,," External drugs and cosmetic use. No batch ever certified.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 6359-82-6"," Ext. D&C Yellow No. 3",,," Delisted, formerly subject to certification"," None"," formerly External Drugs, External Cosmetics",," none",," &diams; C.I. ACID YELLOW 11",=T("81.30"),,,,,,,,,,,,,,,,,,," 4 FR 1922 (at page 1931)",05/09/1939,," Specifications",,,,,,,,,,,,," External drug and cosmetic use."," 25 FR 9759",10/12/1960," Provisional Regulation",,,,,,,,,,,,," Provisional external drug and cosmetic use."," 32 FR 10930",07/26/1967," Delisting; cancellation of certification",,,,,,,,,," Provisional external drug and cosmetic use. No interest.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
